radius,texture,area,diagnosis
6.23,13.3,272.77,0
12.09,20.71,197.82,0
15.41,21.87,1118.79,1
11.05,18.59,535.73,0
17.87,31.79,2156.97,1
12.83,11.92,382.44,0
17.02,39.14,1305.87,1
9.42,14.31,339.18,0
25.49,34.59,1665.21,1
16.02,25.86,1831.55,1
22.51,34.09,782.48,1
12.96,21.82,620.42,0
9.42,15.44,608.76,0
9.33,12.51,296.84,0
11.48,12.05,551.02,0
10.16,13.24,658.97,0
12.16,20.11,576.8,0
13.4,19.66,370.64,0
7.9,21.31,632.0,0
17.76,29.98,2292.43,1
16.86,22.79,2040.98,1
24.71,28.57,1750.36,1
17.85,39.95,1617.15,1
12.8,20.33,234.06,0
13.13,15.07,184.94,0
22.75,29.36,1152.55,1
12.12,11.37,636.63,0
24.99,26.8,1228.3,1
10.08,21.45,631.72,0
27.63,35.24,1613.83,1
13.83,13.58,501.42,0
7.38,19.15,446.66,0
11.39,15.86,211.53,0
26.42,36.63,1253.53,1
8.17,16.81,193.32,0
25.61,39.56,1658.87,1
7.16,15.7,452.39,0
21.86,32.13,2435.85,1
12.42,14.79,519.43,0
20.7,30.35,917.81,1
6.58,10.25,454.66,0
6.06,18.49,182.38,0
14.15,20.32,188.97,0
8.51,15.82,446.58,0
18.16,29.46,1432.71,1
6.87,15.17,382.97,0
26.23,21.08,1876.22,1
6.55,18.74,590.33,0
8.24,12.28,396.74,0
17.39,29.25,2274.07,1
9.99,20.34,452.68,0
11.87,16.49,158.12,0
14.34,20.18,241.47,0
21.26,37.29,2324.4,1
9.41,21.82,295.86,0
18.71,33.93,2014.91,1
17.01,25.93,2443.68,1
12.73,10.69,471.3,0
6.51,16.09,618.24,0
11.36,18.1,279.36,0
14.47,16.84,468.41,0
11.57,15.03,471.02,0
27.15,24.09,1989.15,1
8.39,11.57,505.03,0
19.11,35.04,830.58,1
23.08,31.26,879.97,1
10.55,11.59,341.95,0
13.91,14.43,236.76,0
22.95,39.74,1877.16,1
12.01,16.66,662.47,0
14.45,11.61,213.49,0
12.68,11.87,304.97,0
12.46,12.44,498.83,0
21.57,25.02,2334.69,1
6.83,15.08,302.17,0
9.0,11.57,688.89,0
12.67,16.62,385.23,0
7.01,21.34,530.06,0
10.91,20.02,470.38,0
9.87,10.5,350.56,0
14.09,12.52,287.24,0
9.18,16.72,631.09,0
14.33,12.84,239.38,0
13.93,10.3,555.11,0
25.17,28.23,1905.83,1
8.4,19.45,209.45,0
13.73,12.67,599.12,0
19.55,36.41,2268.38,1
6.21,12.32,330.54,0
14.7,13.35,502.81,0
23.83,36.87,1296.07,1
7.04,21.64,248.21,0
15.5,31.93,1322.24,1
20.67,39.68,908.16,1
8.29,18.51,150.93,0
9.28,10.84,515.33,0
23.1,33.27,924.33,1
21.59,33.34,1287.13,1
22.21,23.84,1896.87,1
23.81,38.06,1807.93,1
20.28,36.67,1246.97,1
9.87,16.96,510.09,0
20.74,33.51,1620.11,1
11.93,13.41,515.12,0
16.21,39.04,1122.76,1
17.92,23.98,743.97,1
14.86,17.34,572.67,0
20.39,32.6,1049.98,1
21.43,24.88,1880.9,1
14.03,20.33,637.01,0
17.84,36.08,1952.64,1
15.65,24.98,2227.01,1
16.73,29.29,1656.04,1
27.35,37.83,1802.77,1
25.8,30.96,2314.97,1
20.85,35.04,2211.75,1
24.96,30.43,1828.15,1
20.72,34.27,1122.09,1
19.16,30.8,949.07,1
9.45,11.83,267.67,0
20.3,30.85,1448.39,1
13.5,14.67,573.39,0
13.71,19.19,359.21,0
14.48,13.58,364.49,0
22.0,34.69,2139.76,1
10.39,13.28,417.1,0
19.37,33.58,1427.77,1
13.56,21.03,689.4,0
14.16,17.1,514.65,0
11.78,11.63,403.93,0
8.34,13.93,400.08,0
24.9,27.58,2053.62,1
18.28,21.64,734.89,1
15.0,14.2,507.58,0
12.79,21.4,259.65,0
11.59,12.86,410.46,0
11.08,12.62,534.71,0
17.18,32.14,2046.27,1
13.0,11.97,321.07,0
14.36,16.91,649.41,0
20.16,34.3,836.79,1
6.92,19.27,617.66,0
13.17,16.79,172.59,0
23.6,21.38,1865.58,1
13.65,19.87,208.05,0
23.26,36.57,1973.16,1
17.29,30.43,1870.82,1
21.04,36.51,1766.45,1
26.07,36.61,855.99,1
18.17,29.29,1798.6,1
19.37,29.89,1285.03,1
17.76,35.96,1312.61,1
22.23,30.33,1043.9,1
12.48,15.86,566.99,0
23.4,29.82,2127.28,1
8.65,14.85,283.82,0
21.15,30.62,1465.91,1
19.57,29.07,1251.92,1
7.09,12.31,215.76,0
7.72,18.86,302.07,0
27.75,36.65,1233.24,1
17.33,20.28,1661.44,1
15.59,21.09,1225.85,1
11.74,19.03,206.42,0
11.17,15.63,392.26,0
14.69,13.03,623.95,0
13.4,14.81,190.75,0
7.37,19.73,672.02,0
14.95,11.42,570.44,0
12.98,14.56,649.68,0
26.18,39.8,1249.68,1
11.49,18.88,671.17,0
11.63,13.18,194.65,0
7.56,10.9,151.47,0
23.96,29.4,758.75,1
24.19,34.06,1517.26,1
14.32,19.45,493.78,0
9.83,16.53,506.2,0
25.75,21.43,998.66,1
22.74,36.48,2358.15,1
16.62,33.77,1959.52,1
21.51,29.88,844.8,1
14.0,18.81,482.04,0
6.82,21.54,609.78,0
15.0,18.07,298.23,0
12.87,12.1,435.43,0
26.91,23.63,1753.59,1
27.6,29.4,1435.03,1
23.71,37.15,1293.65,1
18.75,38.9,2164.42,1
10.09,13.77,327.8,0
26.24,36.5,702.07,1
20.37,23.75,1351.2,1
23.13,35.2,1066.4,1
14.35,15.26,534.04,0
6.26,17.56,589.62,0
8.8,10.16,374.39,0
14.93,20.96,403.8,0
11.83,11.85,662.96,0
21.62,25.47,2202.5,1
18.17,31.03,1390.45,1
13.78,13.31,584.5,0
19.42,35.75,1180.91,1
8.55,13.58,472.82,0
26.25,28.93,1571.81,1
22.17,30.87,1519.62,1
26.3,39.62,1129.85,1
18.04,35.51,778.57,1
24.17,36.23,1394.94,1
10.46,10.44,426.26,0
26.31,37.48,1492.55,1
15.2,22.88,2267.68,1
6.67,19.38,295.76,0
23.45,37.04,2234.21,1
27.4,32.54,2297.39,1
26.34,20.72,823.16,1
27.97,34.94,1481.15,1
12.84,18.45,205.28,0
12.25,20.84,175.3,0
8.64,14.5,230.06,0
22.36,35.85,1005.97,1
11.49,14.59,525.72,0
26.87,22.86,1530.07,1
20.97,33.34,2318.04,1
26.72,33.55,984.36,1
27.29,39.75,1238.48,1
23.97,29.14,1243.82,1
26.09,22.13,1386.46,1
22.47,39.85,1231.42,1
18.57,31.32,1934.44,1
14.2,18.94,608.06,0
25.08,24.6,2143.48,1
11.73,17.45,522.77,0
11.65,20.84,505.49,0
25.25,20.67,1356.75,1
6.81,13.54,561.11,0
7.81,19.44,632.05,0
21.9,38.27,2194.85,1
26.88,38.88,2441.29,1
24.71,26.77,907.31,1
7.27,21.6,623.08,0
27.57,36.09,1358.4,1
15.18,30.73,1518.61,1
22.6,36.45,2392.53,1
12.07,15.66,490.75,0
26.9,24.43,813.79,1
26.82,26.04,1434.93,1
6.41,10.45,697.76,0
6.87,20.65,224.62,0
19.82,38.99,1953.67,1
22.64,34.53,2293.74,1
13.5,17.39,666.48,0
15.43,27.41,1498.09,1
13.7,11.19,527.12,0
15.79,25.52,2442.77,1
16.19,24.24,1851.09,1
6.46,14.0,693.85,0
6.62,19.18,263.94,0
13.32,12.8,575.9,0
8.5,21.81,693.14,0
25.38,22.2,2259.61,1
6.13,19.48,280.86,0
15.21,25.31,928.17,1
21.84,34.91,1557.24,1
21.67,22.18,1606.91,1
12.55,20.91,512.4,0
20.95,39.28,809.49,1
26.01,28.53,894.33,1
15.96,21.62,1794.94,1
7.14,17.49,471.95,0
19.95,31.95,1230.82,1
16.29,34.04,2235.03,1
9.87,20.66,377.6,0
20.18,34.59,1262.59,1
23.65,27.49,974.75,1
15.87,36.64,867.81,1
12.7,14.47,221.56,0
11.28,16.74,331.31,0
9.7,20.48,667.62,0
26.29,34.42,2443.12,1
19.57,31.56,1082.93,1
17.92,22.16,2221.67,1
16.49,25.57,1107.09,1
25.99,39.49,2173.17,1
11.48,17.89,531.41,0
7.62,18.43,319.94,0
19.56,23.63,957.85,1
15.9,34.82,2449.26,1
12.72,12.58,380.91,0
17.05,26.23,1283.89,1
13.95,11.87,564.94,0
12.07,13.27,514.07,0
22.89,28.28,1088.02,1
9.11,11.33,523.02,0
21.85,26.17,1096.93,1
6.07,13.62,266.18,0
12.88,13.47,215.99,0
24.71,23.51,1384.37,1
10.5,20.0,593.41,0
9.57,18.9,389.92,0
26.98,37.24,1736.37,1
24.22,28.35,907.31,1
14.7,12.06,671.19,0
25.82,38.4,858.63,1
8.19,17.07,438.18,0
26.32,34.92,1098.83,1
6.69,17.6,441.83,0
14.15,14.19,550.06,0
8.13,11.76,258.5,0
12.84,17.87,247.43,0
21.03,31.27,1743.04,1
26.24,32.54,971.72,1
10.22,17.58,587.98,0
9.17,10.89,403.96,0
6.51,19.98,192.2,0
11.54,16.08,404.49,0
10.05,19.72,508.51,0
22.87,30.03,2423.9,1
16.35,37.98,1318.19,1
10.54,12.07,286.26,0
27.88,30.48,1797.65,1
19.85,25.66,1435.78,1
23.83,21.05,1835.6,1
15.86,21.89,1921.08,1
18.28,37.03,2435.94,1
9.0,16.99,227.79,0
19.03,33.12,1891.84,1
11.36,21.26,320.27,0
23.37,26.57,930.03,1
11.81,15.08,349.01,0
19.02,39.02,1315.12,1
17.5,40.0,978.9,1
25.98,22.02,2087.57,1
11.96,20.52,489.92,0
17.01,23.62,1947.12,1
12.49,10.52,350.36,0
14.73,17.33,563.82,0
18.04,24.78,2438.07,1
26.75,23.88,1920.95,1
21.0,25.64,1387.37,1
27.56,36.34,2142.27,1
13.86,10.63,414.32,0
22.21,22.05,2222.61,1
8.57,19.16,300.04,0
13.48,11.1,650.78,0
26.5,38.61,1446.81,1
21.53,24.72,2490.15,1
17.92,26.37,878.35,1
25.29,22.75,1216.38,1
24.05,22.78,1969.97,1
